imdb_id,budget,mpaa_rating,collection_name,collection_id,keywords,production_companies,main_production_company,director,director_id,director_popularity,top_cast,main_actor_name,main_actor_id,main_actor_popularity,cast_popularity_sum,primaryTitle,first_week_revenue,Distributor,runtimeMinutes,genres,Theaters,release_date,year,is_major_holiday,month_August,month_December,month_February,month_January,month_July,month_June,month_March,month_May,month_November,month_October,month_September,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,competition_count,director_bankability,actor_bankability,director_experience,is_covid_period,dist_cat_Medium,dist_cat_Small,distributor_bankability,mpaa_rank,has_top_yield_genre,has_high_yield_genre,has_medium_yield_genre,has_low_yield_genre,budget_tier_numeric,prequel_revenue,has_prequel,prequel_revenue_fixed,franchise_position,years_since_last_installment,Source_Comic_Graphic_Novel,budget_per_theater,avg_ticket_price,consumer_sentiment
tt31036941,180000000,PG-13,Jurassic Park Collection,328.0,"island, secret mission, stranded, dinosaur, family","Universal Pictures, Amblin Entertainment",Universal Pictures,Gareth Edwards,129894.0,0.8892,"Scarlett Johansson, Mahershala Ali, Jonathan Bailey, Rupert Friend, Manuel Garcia-Rulfo",Scarlett Johansson,1245.0,27.9024,39.1496,Jurassic World: Rebirth,174574875,Universal Pictures,133.0,"Action,Adventure,Sci-Fi",4063.0,2025-07-02,2025,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,119392693,43245519,3,0,0,0,41968011.42666667,2,1,0,0,0,4,191136690.0,1,191136690.0,4.0,3.060917180013689,0,44302.23972434162,11.31,58.0
tt1424381,40000000,R,Predator Collection,399.0,"hunter, predator, yakuza, alien life-form, sequel","Davis Entertainment, 20th Century Fox, Dune Entertainment, Troublemaker Studios",Davis Entertainment,Nimród Antal,41671.0,0.5925,"Adrien Brody, Topher Grace, Alice Braga, Walton Goggins, Oleg Taktarov",Adrien Brody,3490.0,4.2862,10.7454,Predators,33284041,20th Century Studios,107.0,"Action,Adventure,Sci-Fi",2669.0,2010-07-09,2010,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,8246521,19089812,1,0,0,0,45411319.64705882,1,1,0,0,0,2,0.0,0,57186770.0,1.0,0.0,0,14986.886474334957,7.89,71.8
tt3829266,88000000,R,Predator Collection,399.0,"predator, sequel, alien, creature, alien invasion","Davis Entertainment, TSG Entertainment, 20th Century Fox",Davis Entertainment,Shane Black,1108.0,1.0553,"Boyd Holbrook, Trevante Rhodes, Sterling K. Brown, Jacob Tremblay, Keegan-Michael Key",Boyd Holbrook,467645.0,2.0495,4.7413,The Predator,31735122,20th Century Studios,107.0,"Action,Adventure,Sci-Fi",4037.0,2018-09-14,2018,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,113892378,35435752,2,0,0,0,39621791.912,1,1,0,0,0,3,33284041.0,1,33284041.0,2.0,8.183436002737851,0,21798.365122615804,9.11,98.4
tt31227572,105000000,PG-13,Predator Collection,399.0,"survival, outcast, alien planet, team up, negative","20th Century Studios, Lawrence Gordon Productions, Davis Entertainment, Toberoff Productions, TSG Entertainment",20th Century Studios,Dan Trachtenberg,568322.0,1.2717,"Elle Fanning, Dimitrius Schuster-Koloamatangi, Ravi Narayan, Michael Homick, Stefan Grube",Elle Fanning,18050.0,29.7654,31.9942,Predator: Badlands,51592031,Walt Disney Studios Motion Pictures,107.0,"Action,Adventure,Sci-Fi",3725.0,2025-11-07,2025,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,32676639,49701588,1,0,0,0,92685091.41843972,2,1,0,0,0,3,31735122.0,1,31735122.0,3.0,7.148528405201916,0,28187.919463087248,11.31,58.0
tt0980970,155000000,PG,The Chronicles of Narnia Collection,420.0,"based on novel or book, magic, lion, anthropomorphism, dragon","Fox 2000 Pictures, Walden Media, C.S. Lewis Company",Fox 2000 Pictures,Michael Apted,10781.0,0.5206,"Georgie Henley, Skandar Keynes, Ben Barnes, Will Poulter, Anna Popplewell",Georgie Henley,5526.0,1.9465,6.9173,The Chronicles of Narnia: The Voyage of the Dawn Treader,30363575,20th Century Studios,113.0,"Adventure,Family,Fantasy",3555.0,2010-12-10,2010,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,49701588,49701588,0,0,0,0,38570594.333333336,3,1,1,0,0,4,0.0,0,57186770.0,1.0,0.0,0,43600.56258790436,7.89,71.8
tt0438488,200000000,PG-13,The Terminator Collection,528.0,"army, artificial intelligence (a.i.), saving the world, prophecy, san francisco, california","The Halcyon Company, Moritz Borman Productions, Wonderland Sound and Vision, Mandate International, T Asset Acquisition Company",The Halcyon Company,McG,36425.0,0.7792,"Christian Bale, Sam Worthington, Moon Bloodgood, Helena Bonham Carter, Anton Yelchin",Christian Bale,3894.0,6.7369,11.9033,Terminator Salvation,71859503,Warner Bros.,115.0,"Action,Adventure,Sci-Fi",3480.0,2009-05-21,2009,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,2,91000048,91000048,0,0,0,0,31772895.0,2,1,0,0,0,4,0.0,0,57186770.0,1.0,0.0,0,57471.26436781609,7.5,66.3
tt1340138,155000000,PG-13,The Terminator Collection,528.0,"future, artificial intelligence (a.i.), saving the world, cyborg, killer robot","Paramount Pictures, Skydance Media",Paramount Pictures,Alan Taylor,47005.0,0.8047,"Emilia Clarke, Jai Courtney, Arnold Schwarzenegger, Jason Clarke, Matt Smith",Emilia Clarke,1223786.0,7.9718,14.79,Terminator Genisys,49884090,Paramount Pictures,126.0,"Action,Adventure,Sci-Fi",3758.0,2015-07-01,2015,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,108511114,49701588,1,0,0,0,46129765.04,2,1,0,0,0,4,71859503.0,1,71859503.0,2.0,6.11088295687885,0,41245.343267695585,8.43,92.9
tt6450804,185000000,R,The Terminator Collection,528.0,"helicopter, mexico city, mexico, artificial intelligence (a.i.), cyborg, dystopia","20th Century Fox, Skydance Media, Paramount Pictures, Tencent Pictures, TSG Entertainment, Lightstorm Entertainment",20th Century Fox,Tim Miller,55252.0,0.9208,"Linda Hamilton, Arnold Schwarzenegger, Mackenzie Davis, Natalia Reyes, Gabriel Luna",Linda Hamilton,2713.0,75.1838,81.78620000000001,Terminator: Dark Fate,37657130,Paramount Pictures,128.0,"Action,Adventure,Sci-Fi",4086.0,2019-11-01,2019,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,180394887,91000048,1,0,0,0,39716023.11111111,1,1,0,0,0,4,49884090.0,1,49884090.0,3.0,4.336755646817249,0,45276.55408712677,9.16,96.0
tt1074638,200000000,PG-13,James Bond Collection,645.0,"spy, secret agent, sociopath, police impersonator, mi6","Metro-Goldwyn-Mayer, EON Productions, Columbia Pictures",Metro-Goldwyn-Mayer,Sam Mendes,39.0,1.6275,"Daniel Craig, Judi Dench, Javier Bardem, Ralph Fiennes, Naomie Harris",Daniel Craig,8784.0,4.4618,10.5874,Skyfall,114650165,Sony Pictures Releasing,143.0,"Action,Adventure,Thriller",463.0,2012-11-08,2012,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,91000048,31353814,0,0,0,0,34994176.6,2,1,1,0,0,4,0.0,0,57186770.0,1.0,0.0,0,431965.44276457885,7.96,76.6
tt2379713,245000000,PG-13,James Bond Collection,645.0,"based on novel or book, spy, secret agent, sequel, mi6","Metro-Goldwyn-Mayer, Columbia Pictures, EON Productions, B24",Metro-Goldwyn-Mayer,Sam Mendes,39.0,1.7009,"Daniel Craig, Christoph Waltz, Léa Seydoux, Ralph Fiennes, Monica Bellucci",Daniel Craig,8784.0,4.3212,13.0816,Spectre,95300181,Sony Pictures Releasing,148.0,"Action,Adventure,Thriller",3929.0,2015-11-06,2015,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,2,114650165,52177902,1,0,0,0,37233971.73529412,2,1,1,0,0,4,114650165.0,1,114650165.0,2.0,2.9924709103353866,0,62356.8337999491,8.43,92.9
